問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
14の都道府県名と県庁所在地名,神奈川県>横浜市,横浜や川崎などの大都市と、箱根や鎌倉などの歴史・観光地が共存しています。京浜工業地帯の中心として、古くから日本の産業と貿易を力強く牽引しています。,,,,,,,,map-kanto.png
15の都道府県名と県庁所在地名,新潟県>新潟市,日本海側に位置する国内有数の米どころで、コシヒカリや日本酒が特に有名です。冬は雪深く、スキーなどのウィンタースポーツが盛んに行われる地域でもあります。,,,,,,,,map-chubu.png
16の都道府県名と県庁所在地名,富山県>富山市,雄大な立山連峰を望み、黒部ダムなどのスケールの大きな観光資源があります。古くから「越中の薬売り」で知られ、現在も医薬品産業やものづくりが盛んです。,,,,,,,,map-chubu.png
17の都道府県名と県庁所在地名,石川県>金沢市,金沢市を中心に、加賀百万石の歴史と伝統文化が現代に色濃く残っています。美しい兼六園や九谷焼などの伝統工芸、そして日本海の新鮮な海の幸が魅力です。,,,,,,,,map-chubu.png
18の都道府県名と県庁所在地名,福井県>福井市,恐竜化石の発掘量が日本一であり、世界的に有名な恐竜博物館が存在します。越前がにや鯖江市のメガネフレームなど、特色ある特産品や産業が根付いています。,,,,,,,,map-chubu.png
19の都道府県名と県庁所在地名,山梨県>甲府市,富士山や南アルプスなど、日本を代表する高い山々に囲まれた内陸県です。日照時間が長く、ぶどうや桃などの果樹栽培、そしてワイン醸造が非常に盛んです。,,,,,,,,map-chubu.png
20の都道府県名と県庁所在地名,長野県>長野市,「日本の屋根」と呼ばれるアルプスの山々に抱かれ、豊かな自然環境を誇ります。避暑地やスキー場が多く、りんごやレタスなどの高原野菜の生産も盛んです。,,,,,,,,map-chubu.png
21の都道府県名と県庁所在地名,岐阜県>岐阜市,北部は飛騨の山々、南部は木曽三川が流れる自然豊かで変化に富んだ内陸県です。白川郷の合掌造り集落や、伝統的な鵜飼い、飛騨牛などのグルメが楽しめます。,,,,,,,,map-chubu.png
22の都道府県名と県庁所在地名,静岡県>静岡市,日本一の標高を誇る富士山と、日本一深い駿河湾に面した温暖で風光明媚な県です。お茶やみかんの栽培が盛んで、楽器やオートバイなどの産業も世界トップクラスです。,,,,,,,,map-chubu.png
23の都道府県名と県庁所在地名,愛知県>名古屋市,自動車産業をはじめとする世界的企業が集積する、日本最大の工業県です。「名古屋めし」と呼ばれる独自の食文化や、戦国武将ゆかりの地としても有名です。,,,,,,,,map-chubu.png
24の都道府県名と県庁所在地名,三重県>津市,伊勢神宮を擁し、古くから全国から多くの参拝客が訪れる歴史ある地域です。松阪牛や伊勢えび、真珠の養殖など、世界的にも有名な特産品が揃っています。,,,,,,,,map-kinki.png
25の都道府県名と県庁所在地名,滋賀県>大津市,県の中央に日本最大の湖である琵琶湖があり、近畿地方の水がめとして機能しています。歴史的な寺社や城跡が多く残されており、近江牛などの豊かな食文化も魅力です。,,,,,,,,map-kinki.png
26の都道府県名と県庁所在地名,京都府>京都市,1000年以上にわたり日本の都が置かれた、歴史と伝統文化の確固たる中心地です。数多くの世界遺産や国宝を有し、国内外から観光客が絶えない国際観光都市です。,,,,,,,,map-kinki.png
27の都道府県名と県庁所在地名,大阪府>大阪市,古くから「天下の台所」と呼ばれた、西日本の経済と文化を牽引する中心都市です。たこ焼きなどの「粉もん」文化と、活気あふれるフレンドリーな人々の気質が特徴です。,,,,,,,,map-kinki.png
28の都道府県名と県庁所在地名,兵庫県>神戸市,北は日本海、南は瀬戸内海に面し、多様な気候と風土を持つ「日本の縮図」です。港町である神戸や、白亜の姫路城、宝塚歌劇など多彩な文化と魅力に溢れています。,,,,,,,,map-kinki.png
29の都道府県名と県庁所在地名,奈良県>奈良市,かつて平城京が置かれた、日本の古代国家と文化の始まりとも言える地です。東大寺の大仏や法隆寺など、日本最古級の歴史遺産が今も数多く残されています。,,,,,,,,map-kinki.png
30の都道府県名と県庁所在地名,和歌山県>和歌山市,紀伊半島の豊かな海と山に囲まれ、みかんや梅などの果樹栽培が日本一です。高野山や熊野古道など、深い信仰を集める世界遺産と豊かな温泉地を有しています。,,,,,,,,map-kinki.png
31の都道府県名と県庁所在地名,鳥取県>鳥取市,日本最大級の鳥取砂丘があり、壮大な自然の造形美を存分に楽しむことができます。松葉がにや二十世紀梨などの特産品に加え、美しい星空も県の大きな魅力です。,,,,,,,,map-chugoku-shikoku.png
32の都道府県名と県庁所在地名,島根県>松江市,縁結びの神様として有名な出雲大社があり、古代神話の舞台として知られています。宍道湖のしじみや、世界遺産の石見銀山など、歴史と自然の恵みが豊かな地域です。,,,,,,,,map-chugoku-shikoku.png
33の都道府県名と県庁所在地名,岡山県>岡山市,「晴れの国」と呼ばれるほど降水量が少なく、温暖で過ごしやすい気候が特徴です。マスカットや白桃などの高級果物の栽培が盛んで、倉敷美観地区などの観光地もあります。,,,,,,,,map-chugoku-shikoku.png
34の都道府県名と県庁所在地名,広島県>広島市,瀬戸内海に面した中国地方最大の都市であり、自動車や造船などの産業が盛んです。原爆ドームと厳島神社の2つの世界遺産を有し、平和への祈りを世界に発信しています。,,,,,,,,map-chugoku-shikoku.png
35の都道府県名と県庁所在地名,山口県>山口市,本州の最西端に位置し、三方を海に囲まれた自然豊かで風光明媚な県です。フグの取扱いや秋芳洞などの絶景があり、多くの総理大臣を輩出した歴史の舞台でもあります。,,,,,,,,map-chugoku-shikoku.png
36の都道府県名と県庁所在地名,徳島県>徳島市,四国東部に位置し、夏には世界的に有名な「阿波おどり」の熱気に包まれます。鳴門の渦潮や祖谷のかずら橋など、ダイナミックで力強い自然景観も大きな魅力です。,,,,,,,,map-chugoku-shikoku.png
37の都道府県名と県庁所在地名,香川県>高松市,日本で最も面積が小さい県ですが、独自の「うどん県」ブランドで全国的に有名です。瀬戸内海の美しい島々を舞台にした現代アートの祭典も、多くの人気を集めています。,,,,,,,,map-chugoku-shikoku.png
38の都道府県名と県庁所在地名,愛媛県>松山市,瀬戸内海と宇和海に面し、温暖な気候を活かしたみかん栽培が非常に盛んです。日本最古の温泉とも言われる道後温泉があり、文学の街としての風情も漂います。,,,,,,,,map-chugoku-shikoku.png
39の都道府県名と県庁所在地名,高知県>高知市,太平洋に面した広大な県で、坂本龍馬をはじめとする多くの偉人を輩出しました。カツオのタタキやよさこい祭りなど、豪快で活気ある県民性と文化が特徴です。,,,,,,,,map-chugoku-shikoku.png
40の都道府県名と県庁所在地名,福岡県>福岡市,九州の玄関口として大きく発展し、アジアとの交流拠点の役割を担っています。博多ラーメンやもつ鍋などの豊かな食文化があり、屋台が並ぶ街の風景も独特です。,,,,,,,,map-kyushu-okinawa.png
41の都道府県名と県庁所在地名,佐賀県>佐賀市,唐津焼や有田焼、伊万里焼など、世界に誇る陶磁器の産地として広く知られています。吉野ヶ里遺跡などの歴史遺産や、呼子のイカなど有明海・玄界灘の海の幸も楽しめます。,,,,,,,,map-kyushu-okinawa.png
42の都道府県名と県庁所在地名,長崎県>長崎市,古くから海外との交流窓口として栄え、異国情緒あふれる美しい街並みが広がります。多くの島々を抱え、ハウステンボスや平和公園など多彩で歴史的な観光地があります。,,,,,,,,map-kyushu-okinawa.png
43の都道府県名と県庁所在地名,熊本県>熊本市,雄大な阿蘇山を擁し、「火の国」と呼ばれる自然豊かでダイナミックな県です。豊富で清らかな地下水に恵まれており、熊本城の勇姿やご当地キャラクターも人気です。,,,,,,,,map-kyushu-okinawa.png
44の都道府県名と県庁所在地名,大分県>大分市,別府や湯布院など、日本一の源泉数と湧出量を誇る全国屈指の「おんせん県」です。豊かな地熱を活かした発電技術や、関あじ・関さばなどの高級水産物も有名です。,,,,,,,,map-kyushu-okinawa.png
45の都道府県名と県庁所在地名,宮崎県>宮崎市,年間を通して温暖な気候で、南国情緒あふれる日南海岸などがリゾートとして人気です。マンゴーや地鶏、宮崎牛など、高品質な農畜産物の生産が非常に盛んな地域です。,,,,,,,,map-kyushu-okinawa.png
46の都道府県名と県庁所在地名,鹿児島県>鹿児島市,桜島などの活火山を有し、南北に連なる多くの離島を持つ自然環境が豊かな県です。黒豚や焼酎などの特産品が全国的に人気で、幕末からの独自の歴史文化も色濃く残ります。,,,,,,,,map-kyushu-okinawa.png
47の都道府県名と県庁所在地名,沖縄県>那覇市,日本の最南端に位置し、美しいサンゴ礁の海と温暖な亜熱帯の気候が広がります。かつての琉球王国の歴史や独自の伝統文化が息づく、国内屈指のリゾート地です。,,,,,,,,map-kyushu-okinawa.png
